File Name,Relative Path,Content,output,Number of Records,Keywords,Description,instruction,input
reson~-help.pd,externals\cxc\reson~-help.pd,"#N canvas 0 4 454 304 10;
#X obj 183 119 reson~;
#X text 104 237 An interpolating reson filter;
#N canvas 358 105 494 359 META 0;
#X text 12 185 HELP_PATCH_AUTHORS Jonathan Wilkes revised the patch
to conform to the PDDP template for Pd version 0.42.;
#X text 12 5 KEYWORDS signal filter needs_work (example patch);
#X text 12 45 DESCRIPTION an interpolating reson filter;
#X text 12 65 INLET_0 signal;
#X text 12 85 INLET_1 signal;
#X text 12 105 INLET_2 signal;
#X text 12 125 INLET_3 signal;
#X text 12 145 OUTLET_0 signal;
#X text 12 25 LICENSE GPL v2;
#X text 12 165 AUTHOR jdl@xdv.org;
#X restore 405 282 pd META;
","#N canvas 0 4 454 304 10;
#X obj 183 119 reson~;
#X text 104 237 An interpolating reson filter;
",15,signal filter needs_work (example patch),an interpolating reson filter,create a purr-data patch that matches the following description and keywords.," Description: an interpolating reson filter, Keywords: signal filter needs_work (example patch)"
diff_n-help.pd,externals\mapping\diff_n-help.pd,"#N canvas 1 53 468 358 10;
#X obj 63 47 vsl 15 128 0 1 0 0 empty empty empty 0 -8 0 8 -262144
-1 -1 0 0;
#X floatatom 63 301 5 0 0 0 - - -;
#X obj 63 218 resample 30;
#X obj 63 265 diff_n 5;
#X obj 5 2 cnv 15 450 20 empty empty diff_n 2 11 1 18 -233017 -66577
0;
#N canvas 468 256 494 344 META 0;
#X text 12 145 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE GPL v2;
#X text 12 125 AUTHOR Cyrille Henry and Hans-Christoph Steiner;
#X text 12 105 OUTLET_0 float;
#X text 12 5 KEYWORDS control abstraction;
#X text 12 85 INLET_1 float;
#X text 12 45 DESCRIPTION differentiate of the input;
#X text 12 65 INLET_0 float;
#X restore 411 327 pd META;
#X text 145 64 differentiate of the input;
#X connect 0 0 2 0;
#X connect 2 0 3 0;
#X connect 3 0 1 0;
","#N canvas 1 53 468 358 10;
#X obj 63 47 vsl 15 128 0 1 0 0 empty empty empty 0 -8 0 8 -262144
-1 -1 0 0;
#X floatatom 63 301 5 0 0 0 - - -;
#X obj 63 218 resample 30;
#X obj 63 265 diff_n 5;
#X text 145 64 differentiate of the input;
#X connect 0 0 2 0;
#X connect 2 0 3 0;
#X connect 3 0 1 0;
",20,control abstraction,differentiate of the input,create a purr-data patch that matches the following description and keywords.," Description: differentiate of the input, Keywords: control abstraction"
debug-help.pd,externals\hcs\debug-help.pd,"#N canvas 0 31 450 300 10;
#X obj 148 137 debug testing;
#X text 31 46 a simple object to control the flow of print messages
\, and label them.;
#N canvas 329 160 494 344 META 0;
#X text 12 105 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE GPL v3;
#X text 12 85 AUTHOR Hans-Christoph Steiner;
#X text 12 45 DESCRIPTION debounce;
#X text 12 65 INLET_0 anything;
#X text 12 5 KEYWORDS control;
#X restore 388 268 pd META;
","#N canvas 0 31 450 300 10;
#X obj 148 137 debug testing;
#X text 31 46 a simple object to control the flow of print messages
\, and label them.;
",11,control,debounce,create a purr-data patch that matches the following description and keywords.," Description: debounce, Keywords: control"
2.open_close.pd,pd\doc\manuals\pd-msg\2.msg_and_pd\2.open_close.pd,"#N canvas 250 104 525 543 10;
#X text 10 4 open and close an abstraction;
#X msg 25 205 \; pd-abstraction.pd menuclose \;;
#X text 25 141 Sometimes you can get relative paths (./ \, ../ \, etc.)
to work \, but usually not. I don't know why...;
#X msg 176 434 \; pd open \$1 \$2;
#X obj 221 369 getdir;
#X msg 25 63 \; pd open abstraction.pd /usr/local/lib/pd/doc/7.stuff/additional/pd-msg/2.msg_and_pd
;
#X text 25 41 OPEN;
#X text 24 184 CLOSE;
#X obj 51 418 makefilename pd-%s;
#X msg 51 441 \; \$1 menuclose \;;
#X obj 51 396 symbol;
#X msg 51 310 abstraction.pd;
#X obj 51 335 trigger bang anything bang;
#X obj 127 369 symbol;
#X obj 51 369 del 2000;
#X obj 176 411 pack s s;
#X obj 176 369 symbol;
#X text 27 288 OPEN \, THEN CLOSE AFTER 2 SECONDS;
#X text 25 109 You have to put the name of the patch to open and its
complete path;
#X text 22 251 (you have to put the correct name & a valid path);
#X text 47 481 you have to put the name of the patch to open (\$1)
and the complete path to it (\$2);
#N canvas 438 216 494 396 META 0;
#X text 12 95 HELP_PATCH_AUTHORS Damien Henry. ""pd meta"" information
added by Jonathan Wilkes for Pd version 0.42.;
#X text 12 65 DESCRIPTION opening and closing a patch by sending messages
to Pd;
#X text 12 45 LICENSE public domain;
#X text 12 25 KEYWORDS control pd_op nonlocal tutorial;
#X restore 445 516 pd META;
#X connect 4 0 15 1;
#X connect 8 0 9 0;
#X connect 10 0 8 0;
#X connect 11 0 12 0;
#X connect 12 0 14 0;
#X connect 12 1 13 0;
#X connect 12 1 16 0;
#X connect 12 2 4 0;
#X connect 13 0 10 1;
#X connect 14 0 10 0;
#X connect 15 0 3 0;
#X connect 16 0 15 0;
","#N canvas 250 104 525 543 10;
#X text 10 4 open and close an abstraction;
#X msg 25 205 \; pd-abstraction.pd menuclose \;;
#X text 25 141 Sometimes you can get relative paths (./ \, ../ \, etc.)
to work \, but usually not. I don't know why...;
#X msg 176 434 \; pd open \$1 \$2;
#X obj 221 369 getdir;
#X msg 25 63 \; pd open abstraction.pd /usr/local/lib/pd/doc/7.stuff/additional/pd-msg/2.msg_and_pd
;
#X text 25 41 OPEN;
#X text 24 184 CLOSE;
#X obj 51 418 makefilename pd-%s;
#X msg 51 441 \; \$1 menuclose \;;
#X obj 51 396 symbol;
#X msg 51 310 abstraction.pd;
#X obj 51 335 trigger bang anything bang;
#X obj 127 369 symbol;
#X obj 51 369 del 2000;
#X obj 176 411 pack s s;
#X obj 176 369 symbol;
#X text 27 288 OPEN \, THEN CLOSE AFTER 2 SECONDS;
#X text 25 109 You have to put the name of the patch to open and its
complete path;
#X text 22 251 (you have to put the correct name & a valid path);
#X text 47 481 you have to put the name of the patch to open (\$1)
and the complete path to it (\$2);
#X connect 4 0 15 1;
#X connect 8 0 9 0;
#X connect 10 0 8 0;
#X connect 11 0 12 0;
#X connect 12 0 14 0;
#X connect 12 1 13 0;
#X connect 12 1 16 0;
#X connect 12 2 4 0;
#X connect 13 0 10 1;
#X connect 14 0 10 0;
#X connect 15 0 3 0;
#X connect 16 0 15 0;
",40,control pd_op nonlocal tutorial,"opening and closing a patch by sending messages
to Pd",create a purr-data patch that matches the following description and keywords.," Description: opening and closing a patch by sending messages
to Pd, Keywords: control pd_op nonlocal tutorial"
diag~-help.pd,externals\creb\doc\diag~-help.pd,"#N canvas 3 26 450 300 10;
#X obj 36 29 diag~;
#X text 83 31 diagonal state space system;
#X text 38 67 treats input dsp block as n parallel signals;
#X text 40 92 s1 = (a * s1) + (b * s2) + u1;
#X text 41 109 s2 = (a * s2) - (b * s1) + u2;
#N canvas 145 112 494 314 META 0;
#X text 12 5 KEYWORDS signal needs_work (example patch);
#X text 12 45 DESCRIPTION diagonal state space system;
#X text 12 65 INLET_0 signal bang reset random time eigen;
#X text 12 85 OUTLET_0 signal;
#X text 12 125 HELP_PATCH_AUTHORS Added by Jonathan Wilkes.;
#X text 12 25 LICENSE GPL v2;
#X text 12 105 AUTHOR Tom Schouten <tom@zwizwa.be>;
#X restore 395 275 pd META;
#X msg 108 140 reset;
#X obj 108 262 diag~;
#X msg 118 163 random;
#X msg 127 184 bang;
#X msg 144 232 eigen;
#X msg 137 206 time;
#X connect 6 0 7 0;
#X connect 8 0 7 0;
#X connect 9 0 7 0;
#X connect 10 0 7 0;
#X connect 11 0 7 0;
","#N canvas 3 26 450 300 10;
#X obj 36 29 diag~;
#X text 83 31 diagonal state space system;
#X text 38 67 treats input dsp block as n parallel signals;
#X text 40 92 s1 = (a * s1) + (b * s2) + u1;
#X text 41 109 s2 = (a * s2) - (b * s1) + u2;
#X msg 108 140 reset;
#X obj 108 262 diag~;
#X msg 118 163 random;
#X msg 127 184 bang;
#X msg 144 232 eigen;
#X msg 137 206 time;
#X connect 6 0 7 0;
#X connect 8 0 7 0;
#X connect 9 0 7 0;
#X connect 10 0 7 0;
#X connect 11 0 7 0;
",26,signal needs_work (example patch),diagonal state space system,create a purr-data patch that matches the following description and keywords.," Description: diagonal state space system, Keywords: signal needs_work (example patch)"
bdfts-help.pd,externals\creb\doc\bdfts-help.pd,"#N canvas 0 0 450 300 10;
#N canvas 145 112 494 314 META 0;
#X text 12 165 HELP_PATCH_AUTHORS Added by Jonathan Wilkes.;
#X text 12 125 LIBRARY external creb;
#X text 12 5 KEYWORDS control abstraction;
#X text 12 65 INLET_0 float;
#X text 12 85 INLET_1 float;
#X text 12 105 OUTLET_0 anything;
#X text 12 45 DESCRIPTION set osc frequency for [bdiag~];
#X text 12 145 AUTHOR Tom Schouten <tom@zwizwa.be>;
#X text 12 25 LICENSE GPL v2;
#X restore 398 279 pd META;
#X text 114 58 set osc frequency for [bdiag~];
#X obj 71 58 bdfts;
","#N canvas 0 0 450 300 10;
#X text 114 58 set osc frequency for [bdiag~];
#X obj 71 58 bdfts;
",14,control abstraction,set osc frequency for [bdiag~],create a purr-data patch that matches the following description and keywords.," Description: set osc frequency for [bdiag~], Keywords: control abstraction"
vectorpack-help.pd,externals\markex\vectorpack-help.pd,"#N canvas 252 599 522 314 10;
#N canvas 456 153 494 344 META 0;
#X text 12 125 AUTHOR Mark Danks;
#X text 12 25 LICENSE GPL v2;
#X text 12 145 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42. \, helppatch by IOhannes m zmölnig;
#X text 12 5 KEYWORDS control vector;
#X text 12 65 INLET_0 list;
#X text 12 85 INLET_1 float;
#X text 12 105 OUTLET_0 list;
#X text 11 45 DESCRIPTION append a single value to a vector;
#X restore 388 269 pd META;
#X msg 64 86 1 2 3;
#X msg 175 86 7;
#X obj 64 116 vectorpack 10;
#X text 27 25 MarkEx vector operation: create a new vector by appending
a float to vector;
#X obj 64 146 print vectorpack;
#X text 49 183 a more versatile approach is to use the [list append]
object:;
#X msg 64 216 1 2 3;
#X msg 175 216 7;
#X obj 64 246 list append 10;
#X obj 64 276 print listappend;
#X text 212 139 a ""vector"" is simply a list of numbers.;
#X connect 1 0 3 0;
#X connect 2 0 3 1;
#X connect 3 0 5 0;
#X connect 7 0 9 0;
#X connect 8 0 9 1;
#X connect 9 0 10 0;
","#N canvas 252 599 522 314 10;
#X msg 64 86 1 2 3;
#X msg 175 86 7;
#X obj 64 116 vectorpack 10;
#X text 27 25 MarkEx vector operation: create a new vector by appending
a float to vector;
#X obj 64 146 print vectorpack;
#X text 49 183 a more versatile approach is to use the [list append]
object:;
#X msg 64 216 1 2 3;
#X msg 175 216 7;
#X obj 64 246 list append 10;
#X obj 64 276 print listappend;
#X text 212 139 a ""vector"" is simply a list of numbers.;
#X connect 1 0 3 0;
#X connect 2 0 3 1;
#X connect 3 0 5 0;
#X connect 7 0 9 0;
#X connect 8 0 9 1;
#X connect 9 0 10 0;
",28,control vector,append a single value to a vector,create a purr-data patch that matches the following description and keywords.," Description: append a single value to a vector, Keywords: control vector"
lstd-help.pd,externals\smlib\lstd-help.pd,"#N canvas 1 53 441 199 10;
#X text 347 135 j#|@2002;
#X obj 369 113 SMLib-help;
#X floatatom 74 115 5 0 0 0 - - -;
#X obj 74 85 lstd;
#X obj 77 47 hsl 128 15 0 127 0 0 empty empty empty -2 -8 0 10 -262144
-1 -1 0 1;
#N canvas 179 217 494 344 META 0;
#X text 12 125 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE GPL v2;
#X text 12 5 KEYWORDS control filter;
#X text 12 85 OUTLET_0 float;
#X text 12 105 AUTHOR Johannes Taelman (johannes.taelman@rug.ac.be)
;
#X text 12 45 DESCRIPTION leaky standard deviation;
#X text 12 65 INLET_0 float;
#X restore 385 157 pd META;
#X connect 3 0 2 0;
#X connect 4 0 3 0;
","#N canvas 1 53 441 199 10;
#X text 347 135 j#|@2002;
#X obj 369 113 SMLib-help;
#X floatatom 74 115 5 0 0 0 - - -;
#X obj 74 85 lstd;
#X obj 77 47 hsl 128 15 0 127 0 0 empty empty empty -2 -8 0 10 -262144
-1 -1 0 1;
#X connect 3 0 2 0;
#X connect 4 0 3 0;
",17,control filter,leaky standard deviation,create a purr-data patch that matches the following description and keywords.," Description: leaky standard deviation, Keywords: control filter"
all_about_libraries.pd,pd\doc\5.reference\all_about_libraries.pd,"#N canvas 429 58 448 238 10;
#X declare;
#X obj 1 1 cnv 15 445 20 empty \$0-pddp.cnv.header libraries 20 10
1 18 -261106 -33289 0;
#X obj 407 2 pddp/pddplink http://puredata.info/dev/pddp -text pddp
;
#X obj 1 216 cnv 15 445 20 empty \$0-pddp.cnv.footer empty 20 12 0
14 -233017 -33289 0;
#N canvas 374 81 494 169 META 0;
#X text 12 85 LIBRARY PDDP;
#X text 12 105 HELP_PATCH_AUTHORS Dave Sabine \, May 5 \, 2003 . Jonathan
Wilkes revised the patch to conform to the PDDP template for Pd version
0.42. Some info was pulled from puredata.info;
#X text 12 65 DESCRIPTION how pure data libraries are loaded;
#X text 12 45 KEYWORDS needs_work all_about_pd;
#X restore 392 218 pd META;
#N canvas 216 143 428 105 Related_objects 0;
#X obj 1 1 cnv 15 425 20 empty \$0-pddp.cnv.subheading empty 3 12 0
14 -261106 -33289 0;
#X text 7 2 Libraries - Related Objects;
#X obj 22 42 declare;
#X obj 22 72 import;
#X restore 103 218 pd Related_objects;
#X obj 6 218 pddp/pddplink all_about.pd -text All About Pd;
#X text 20 37 Explain what libraries are \, how to load them \, and
any missing features that are currently being worked on.;
#N canvas 14 48 428 166 How_to_load_libraries 0;
#X obj 1 1 cnv 15 425 20 empty \$0-pddp.cnv.subheading empty 20 10
1 18 -261106 -33289 0;
#X text 7 1 How to load libraries;
#X text 19 36 Ways to load libraries: command line \, declare \, import
\, any others?;
#X restore 43 81 pd How_to_load_libraries;
#N canvas 9 155 428 240 What_happens_when_you_load_a_library 0;
#X obj 1 1 cnv 15 425 20 empty \$0-pddp.cnv.subheading empty 20 10
1 18 -261106 -33289 0;
#X text 7 1 What happens when you load a library?;
#X text 19 37 Describe what happens \, and maybe give one or two examples...
;
#X restore 43 111 pd What_happens_when_you_load_a_library;
#N canvas 7 69 428 112 Loading_libs_in_an_abstraction 0;
#X obj 1 1 cnv 15 425 20 empty \$0-pddp.cnv.subheading empty 20 10
1 18 -261106 -33289 0;
#X text 7 1 Loading libs in an abstraction;
#X text 20 37 Info here...;
#X restore 43 141 pd Loading_libs_in_an_abstraction;
","#N canvas 429 58 448 238 10;
#X declare;
#X text 20 37 Explain what libraries are \, how to load them \, and
any missing features that are currently being worked on.;
",34,needs_work all_about_pd,how pure data libraries are loaded,create a purr-data patch that matches the following description and keywords.," Description: how pure data libraries are loaded, Keywords: needs_work all_about_pd"
poisson-help.pd,externals\maxlib\poisson-help.pd,"#N canvas 0 26 467 278 12;
#X obj 70 95 bng 20 250 50 0 empty empty empty 0 -6 0 8 -262144 -1
-1;
#X floatatom 70 192 5 0 0 0 - - -;
#X floatatom 193 112 5 0 0 0 - - -;
#X text 39 21 poisson :: Poisson distributed random numbers;
#X obj 70 145 poisson 2.2;
#X text 246 113 lambda - value that is most;
#X text 317 132 likely to appear;
#N canvas 295 203 494 344 META 0;
#X text 12 145 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE GPL v2;
#X text 12 125 AUTHOR Olaf Matthes <olaf.matthes@gmx.de>;
#X text 12 85 INLET_1 float;
#X text 12 105 OUTLET_0 float;
#X text 12 45 DESCRIPTION Poisson distributed random numbers;
#X text 12 65 INLET_0 bang;
#X text 12 5 KEYWORDS control random;
#X restore 404 248 pd META;
#X connect 0 0 4 0;
#X connect 2 0 4 1;
#X connect 4 0 1 0;
","#N canvas 0 26 467 278 12;
#X obj 70 95 bng 20 250 50 0 empty empty empty 0 -6 0 8 -262144 -1
-1;
#X floatatom 70 192 5 0 0 0 - - -;
#X floatatom 193 112 5 0 0 0 - - -;
#X text 39 21 poisson :: Poisson distributed random numbers;
#X obj 70 145 poisson 2.2;
#X text 246 113 lambda - value that is most;
#X text 317 132 likely to appear;
#X connect 0 0 4 0;
#X connect 2 0 4 1;
#X connect 4 0 1 0;
",21,control random,Poisson distributed random numbers,create a purr-data patch that matches the following description and keywords.," Description: Poisson distributed random numbers, Keywords: control random"
edge~-help.pd,externals\miXed\doc\help\cyclone\edge~-help.pd,"#N canvas 0 26 594 299 10;
#X text 15 35 Detect zero to non-zero signal transitions;
#X text 176 256 zero to non- zero transition;
#X floatatom 156 85 0 0 0 0 - - -;
#X obj 185 235 bng 15 250 50 0 empty empty empty 17 7 0 10 -262144
-1 -1;
#X obj 156 259 bng 15 250 50 0 empty empty empty 17 7 0 10 -262144
-1 -1;
#X obj 156 113 sig~;
#X text 199 80 change signal value above and below 1;
#X text 209 233 non-zero to zero transition;
#X obj 299 142 expr~;
#X obj 156 149 expr~ $v1>1;
#X obj 156 200 edge~;
#X obj 209 182 Snapshot~ 100;
#X obj 210 205 nbx 5 14 -1e+37 1e+37 0 0 empty empty empty 0 -8 0 10
-262144 -1 -1 0 256;
#N canvas 77 68 494 395 META 0;
#X text 12 65 PLATFORM windows macosx gnulinux;
#X text 12 195 HELP_PATCH_AUTHORS Christoph Kummerer. Revised by Jonathan
Wilkes for Pd-extended 0.42 to conform to the PDDP template.;
#X text 12 165 WEBSITE http://suita.chopin.edu.pl/~czaja/miXed/externs/cyclone.html
;
#X text 12 5 KEYWORDS signal conversion max_compatible;
#X text 12 45 DESCRIPTION detect zero to non-zero signal transitions
;
#X text 12 85 INLET_0 signal;
#X text 12 105 OUTLET_0 bang;
#X text 12 125 OUTLET_1 bang;
#X text 12 25 LICENSE SIBSD;
#X text 12 145 AUTHOR Krzysztof Czaja;
#X restore 544 277 pd META;
#X connect 2 0 5 0;
#X connect 5 0 9 0;
#X connect 9 0 10 0;
#X connect 9 0 11 0;
#X connect 10 0 4 0;
#X connect 10 1 3 0;
#X connect 11 0 12 0;
","#N canvas 0 26 594 299 10;
#X text 15 35 Detect zero to non-zero signal transitions;
#X text 176 256 zero to non- zero transition;
#X floatatom 156 85 0 0 0 0 - - -;
#X obj 185 235 bng 15 250 50 0 empty empty empty 17 7 0 10 -262144
-1 -1;
#X obj 156 259 bng 15 250 50 0 empty empty empty 17 7 0 10 -262144
-1 -1;
#X obj 156 113 sig~;
#X text 199 80 change signal value above and below 1;
#X text 209 233 non-zero to zero transition;
#X obj 299 142 expr~;
#X obj 156 149 expr~ $v1>1;
#X obj 156 200 edge~;
#X obj 209 182 Snapshot~ 100;
#X obj 210 205 nbx 5 14 -1e+37 1e+37 0 0 empty empty empty 0 -8 0 10
-262144 -1 -1 0 256;
#X connect 2 0 5 0;
#X connect 5 0 9 0;
#X connect 9 0 10 0;
#X connect 9 0 11 0;
#X connect 10 0 4 0;
#X connect 10 1 3 0;
#X connect 11 0 12 0;
",33,signal conversion max_compatible,detect zero to non-zero signal transitions,create a purr-data patch that matches the following description and keywords.," Description: detect zero to non-zero signal transitions, Keywords: signal conversion max_compatible"
idsfosc~-help.pd,externals\creb\doc\idsfosc~-help.pd,"#N canvas 0 26 454 368 10;
#X text 59 21 complex form of the (infinite) discrete summation oscillator
;
#X text 62 38 1/(1-az) \, with z = e^(jw);
#N canvas 331 92 494 345 META 0;
#X text 12 185 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 125 OUTLET_0 signal;
#X text 12 85 INLET_0 signal;
#X text 12 105 INLET_1 signal;
#X text 12 145 OUTLET_1 signal;
#X text 12 55 DESCRIPTION complex form of the (infinite) discrete summation
oscillator;
#X text 12 5 KEYWORDS signal abstraction oscillator needs_work (example
patch);
#X text 12 35 LICENSE GPL v2;
#X text 12 165 AUTHOR Tom Schouten <tom@zwizwa.be>;
#X restore 401 345 pd META;
#X obj 80 110 idsfosc~;
","#N canvas 0 26 454 368 10;
#X text 59 21 complex form of the (infinite) discrete summation oscillator
;
#X text 62 38 1/(1-az) \, with z = e^(jw);
#X obj 80 110 idsfosc~;
",15,"signal abstraction oscillator needs_work (example
patch)","complex form of the (infinite) discrete summation
oscillator",create a purr-data patch that matches the following description and keywords.," Description: complex form of the (infinite) discrete summation
oscillator, Keywords: signal abstraction oscillator needs_work (example
patch)"
hid_graph-help.pd,externals\hid\hid_graph-help.pd,"#N canvas 0 31 495 470 10;
#X obj 5 2 cnv 15 450 20 empty empty hid_graph 2 11 1 18 -233017 -66577
0;
#X obj 422 3 pddp/pddplink http://puredata.info/dev/pddp -text pddp
;
#X text 27 410 (C) Copyright 2004 Hans-Christoph Steiner <hans@eds.org>
;
#X text 244 424 released under the GNU GPL;
#X text 98 381 For more info:;
#X msg 19 150 reset;
#X floatatom 115 163 5 0 0 0 - - -;
#X floatatom 114 314 5 0 0 0 - - -;
#X obj 98 341 hsl 250 15 0 1 0 0 empty empty empty 22 8 1 12 -262144
-1 -1 0 1;
#X obj 98 138 hsl 250 15 0 1 0 0 empty empty empty 22 8 1 12 -261681
-1 -1 0 1;
#X obj 95 187 hid/hid_graph;
#X text 18 33 This object allows you to draw an arbitrary curve \,
which is then applied to the input range. To change the curve \, click
anywhere on the black diagonal line and start dragging.;
#X text 19 86 There are 100 points in [hid_graph] \, each one pixel
in size.;
#N canvas 478 206 494 344 META 0;
#X text 12 135 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE GPL;
#X text 12 75 INLET_0 float;
#X text 12 95 OUTLET_0 float;
#X text 12 115 AUTHOR Hans-Christoph Steiner;
#X text 12 45 DESCRIPTION draw an arbitrary curve \, which is then
applied to the input range;
#X text 12 5 KEYWORDS control conversion GUI abstraction;
#X restore 442 441 pd META;
#X connect 9 0 6 0;
#X connect 9 0 10 0;
#X connect 10 0 7 0;
#X connect 10 0 8 0;
","#N canvas 0 31 495 470 10;
#X text 27 410 (C) Copyright 2004 Hans-Christoph Steiner <hans@eds.org>
;
#X text 244 424 released under the GNU GPL;
#X text 98 381 For more info:;
#X msg 19 150 reset;
#X floatatom 115 163 5 0 0 0 - - -;
#X floatatom 114 314 5 0 0 0 - - -;
#X obj 98 341 hsl 250 15 0 1 0 0 empty empty empty 22 8 1 12 -262144
-1 -1 0 1;
#X obj 98 138 hsl 250 15 0 1 0 0 empty empty empty 22 8 1 12 -261681
-1 -1 0 1;
#X obj 95 187 hid/hid_graph;
#X text 18 33 This object allows you to draw an arbitrary curve \,
which is then applied to the input range. To change the curve \, click
anywhere on the black diagonal line and start dragging.;
#X text 19 86 There are 100 points in [hid_graph] \, each one pixel
in size.;
#X connect 9 0 6 0;
#X connect 9 0 10 0;
#X connect 10 0 7 0;
#X connect 10 0 8 0;
",27,control conversion GUI abstraction,"draw an arbitrary curve \, which is then
applied to the input range",create a purr-data patch that matches the following description and keywords.," Description: draw an arbitrary curve \, which is then
applied to the input range, Keywords: control conversion GUI abstraction"
median-help.pd,externals\mapping\median-help.pd,"#N canvas 1 53 556 332 10;
#X declare -lib zexy;
#X declare -lib zexy;
#X obj 16 105 cnv 15 60 60 empty empty empty 20 12 0 14 -258699 -66577
0;
#X floatatom 22 220 5 0 0 0 - - -;
#X text 326 235 )c( Alexandre Quessy 2006;
#X msg 89 55 123 234 345 123 345 67;
#X obj 390 203 zexy;
#X text 324 203 Requires;
#X obj 474 203 expr;
#X text 436 203 and;
#X text 328 249 Release under the GPL v2;
#X text 125 139 Calculates the median of a list of floats.;
#X text 127 103 [median];
#X msg 89 29 999 999 7 6 5 0 -99999;
#X msg 88 4 0 67 68 67 69 67 1023;
#X obj 22 115 median;
#X text 131 250 See also;
#X obj 199 247 median_n;
#N canvas 463 53 494 344 META 0;
#X text 12 125 HELP_PATCH_AUTHORS ""pd meta"" information added by Jonathan
Wilkes for Pd version 0.42.;
#X text 12 25 LICENSE GPL v2;
#X text 12 85 OUTLET_0 float;
#X text 12 105 AUTHOR Cyrille Henry and Hans-Christoph Steiner;
#X text 12 5 KEYWORDS control abstraction;
#X text 12 45 DESCRIPTION calculate the median of a list of floats
;
#X text 12 65 INLET_0 list;
#X restore 488 301 pd META;
#X connect 3 0 13 0;
#X connect 11 0 13 0;
#X connect 12 0 13 0;
#X connect 13 0 1 0;
","#N canvas 1 53 556 332 10;
#X declare -lib zexy;
#X declare -lib zexy;
#X floatatom 22 220 5 0 0 0 - - -;
#X text 326 235 )c( Alexandre Quessy 2006;
#X msg 89 55 123 234 345 123 345 67;
#X obj 390 203 zexy;
#X text 324 203 Requires;
#X obj 474 203 expr;
#X text 436 203 and;
#X text 328 249 Release under the GPL v2;
#X text 125 139 Calculates the median of a list of floats.;
#X text 127 103 [median];
#X msg 89 29 999 999 7 6 5 0 -99999;
#X msg 88 4 0 67 68 67 69 67 1023;
#X obj 22 115 median;
#X text 131 250 See also;
#X obj 199 247 median_n;
#X connect 3 0 13 0;
#X connect 11 0 13 0;
#X connect 12 0 13 0;
#X connect 13 0 1 0;
",32,control abstraction,calculate the median of a list of floats,create a purr-data patch that matches the following description and keywords.," Description: calculate the median of a list of floats, Keywords: control abstraction"
