Object Name,Description
abs~,absolute value for signals
clip~,restrict a signal between two limits
dbtopow~,acoustic conversions for audio signals
dbtorms~,acoustic conversions for audio signals
exp~,exponential function
expr~,evaluation of audio signal expressions on a vector by vector basis
fexpr~,evaluation of audio signal expressions on a sample by sample basis
fft~,forward complex FFT
framp~,estimate frequency and amplitude of FFT.
ftom~,acoustic conversions for audio signals
ifft~,inverse complex FFT
log~,logarithms for signals.
max~,binary operators on audio signals
min~,binary operators on audio signals
mtof~,acoustic conversions for audio signals
pow~,power function for signals
powtodb~,acoustic conversions for audio signals
q8_rsqrt~,signal reciprocal square root
q8_sqrt~,signal square root
rfft~,forward real FFT
rifft~,inverse real FFT
rmstodb~,acoustic conversions for audio signals
rsqrt~,signal reciprocal square root
sqrt~,signal square root
wrap~,remainder modulo 1 for signals
adc~,audio input from sound card
bang~,output bang after each DSP cycle
catch~,catch signal from one or more throw~ objects.
dac~,audio output to sound card
line~,audio ramp generator
print~,print out raw values of a signal
readsf~,read a soundfile
receive~,receive signal from a send~ object.
samplerate~,get sample rate
send~,send signal to one or more receive~ objects.
sig~,convert numbers to signals
snapshot~,convert a signal to a number on demand
threshold~,trigger from audio signal. generator
throw~,throw signal to a matching catch~ object.
vline~,high-precision audio ramp generator
vsnapshot~,deluxe snapshot~
writesf~,write audio signals to a soundfile
cos~,cosine waveshaper
noise~,uniformly distributed white noise
osc~,cosine wave oscillator
phasor~,phase ramp generator.
tabosc4~,4-point interpolating oscillator
tabplay~,play a table as a sample (non-transposing).
tabread~,non-interpolating table lookup for signals.
tabread4,4-point-interpolating table lookup for signals. lookup for signals.
tabreceive~,read a block of a signal from an array continuously
tabsend~,write a block of a signal to an array continuously
tabwrite~,write a signal in an array.
biquad~,2nd order (2-pole / 2-zero) filter
bp~,2-pole bandpass filter
cpole~,complex one-pole filter
czero_rev~,complex one-zero "reverse" filter
czero~,complex one-zero filter
env~,envelope follower
hip~,one-pole high pass filter.
lop~,one-pole low pass filter.
rpole~,real one-pole filter.
rzero_rev~,real one-zero "reverse" filter.
rzero~,real one-zero filter
samphold~,sample and hold unit
slop~,slew-limiting low-pass filter
vcf~,voltage-controlled band/low-pass filter
delread~,read from a delay line.
delread4~,read from a delay line with 4-point interpolation (for variable delay times)
delwrite~,write in a delay line.
block~,set block size for DSP
clone,make multiple copies of an abstraction.
inlet,control inlet
inlet~,audio inlet
namecanvas,attach the canvas window to a name
outlet,control outlet
outlet~,audio outlet
pd,define a subwindow (subpatch)
switch~,set block size and on/off control for DSP
drawcurve,draw shapes for data structures
drawnumber,"draw numbers, symbols or texts for Data Structures."
drawpolygon,draw shapes for data structures
drawsymbol,"draw numbers, symbols or texts for Data Structures."
drawtext,"draw numbers, symbols or texts for Data Structures."
filledcurve,draw shapes for data structures
filledpolygon,draw shapes for data structures
plot,draw array elements of scalars
struct,declare the fields in a data structure.
append,add an item to a Data Structure list.
element,get pointer to an element of an array
get,get values from a scalar
getsize,get size of a Data Structures array
scalar,create a scalar datum (default [scalar define]).
scalar define,defines and maintains a scalar.
set,set values in a scalar
bob~,Runge-Kutte numerical simulation of the Moog analog resonant filter
bonk~,attack detection and spectral envelope measurement
choice,search for a best match to an incoming list
complex-mod~,complex amplitude modulator
hilbert~,Hilbert transform
loop~,phase generator for looping samplers
lrshift~,shift signal vector elements left or right
output~,simple stereo output GUI abstraction.
pd~,run a pd sub-process
rev1~,"simple 1-in, 1-out reverberator"
rev2~,"simple 1-in, 4-out reverberator"
rev3~,"hard-core, 2-in, 4-out reverberator"
sigmund~,sinusoidal analysis and pitch tracking
stdout,write messages to standard output
fiddle~,pitch estimator and sinusoidal peak finder
pique,find peaks in an FFT spectrum
