fftease,taint~,taint~,,a cross synthesis object ,signal filters,,[[signal]]
fftease,crossx~,crossx~,,a cross synthesis object with gating ,signal filters,,[[signal]]
fftease,xsyn~,xsyn~,,a cross synthesis with compression object,signal filters,,[[signal]]
fftease,burrow~,burrow~,,a cross-referenced filtering object ,signal filters,,[[signal]]
pdp,pdp_dither,pdp_dither,,a dither effect,image abstractions,,[[pdp]]
pdp,3dp_windowcontext,3dp_windowcontext,,a drawable window,pdp 3d opengl,,[[pdpgl]]
pdmtl,sample.drum.machine~,sample.drum.machine~,,a drum machine ,sample edit,,[[signal]]
creb,fdn~,fdn~,,a feedback delay network,signal,,[[signal]]
fftease,multyq~,multyq~,,a four band filter ,signal filters,,[[signal]]
fftease,shapee~,shapee~,,a frequency shaping object ,signal filters,,[[signal]]
pidip,pdp_form,pdp_form,,a geometric forms adder,,,[[message]]
pdmtl,fx.eq_~,fx.eq_~,,A graphical equalizer. ,fx edit,,[[signal]]
pdmtl,gems.vu~,gems.vu~,,A graphical vu meter.,gems edit,Original patch by Peter Plessas. ,[[signal]]
gem,rubber,rubber,,a grid where you can move one of the grid-points,geos,,[[gem list]]
pdmtl,input.grid_,input.grid_,,A grid. ,input edit,,[[message]]
pidip,pdp_mgrid,pdp_mgrid,,a grid-based motion detector,,,[[message]]
fftease,pvharm~,pvharm~,,a harmonizer ,signal filters,,[[signal]]
pdmtl,fx.limiter~,fx.limiter~,,a limiter ,fx edit,,[[signal]]
zexy,limiter~,limiter~,,a limiter/compressor module,signal processing,,[[signal]]
maxlib,step,step,,a line object that steps,time,,[[message]]
pdmtl,timing.line~,timing.line~,,A line~ that bangs when it's done. ,timing edit,,[[message]]
pdmtl,gui.browser,gui.browser,,A little browser GUI (version to include in your own GOP abstractions).,GUI edit,Flags: internal ,[[message]]
pdmtl,timing.shuffled,timing.shuffled,,A metro with shuffled(swing) output (a humanized metronome). ,timing edit,,[[message]]
unauthorized,cooled~,cooled~,,a micro sound editor,,,
pdmtl,flow.wrap~,flow.wrap~,,A modulo for signals. ,flow edit,,[[signal]]
pdmtl,gems.win.feedback,gems.win.feedback,,A more advanced video feedback loop using snapshots of the rendering window. ,gems edit,,[[message]]
pdmtl,flow.ford,flow.ford,,A more dynamic FOR loop thingy. ,flow edit,,[[message]]
fftease,morphine~,morphine~,,a morphing object ,signal filters,,[[signal]]
pdmtl,gems.movies,gems.movies,,A movie file manager and player.,gems edit,,[[message]]
pdmtl,gems.movies2,gems.movies2,,A movie file manager and player.,gems edit,,[[message]]
pdp,pdp_noise,pdp_noise,,a noise generator,image processors,,[[pdp]]
fftease,drown~,drown~,,a noise reduction (or increase) object,signal filters,,[[signal]]
fftease,scrape~,scrape~,,a noise reduction (or increase) object with frequency control ,signal filters,,[[signal]]
pdmtl,sample.play~,sample.play~,,A non looping pitchable sample player. ,sample edit,,[[signal]]
fftease,pvwarp~,pvwarp~,,a non-linear frequency warper ,signal filters,,[[signal]]
pdmtl,mix.nop~,mix.nop~,,A no-operation which doesn't do anything. ,mix edit,,[[signal]]
motex,shuffle,shuffle,,a no-repeat random generator,math,,[[message]]
pdp,pdp_del,pdp_del,,a packet delay line,general purpose pdp,,[[pdp]]
pdp,pdp_loop,pdp_loop,,a packet loop sampler (packet array),general purpose pdp,,[[pdp]]
pdp,pdp_reg,pdp_reg,,a packet register,general purpose pdp,,[[pdp]]
fftease,dentist~,dentist~,,a partial knockout object ,signal filters,,[[signal]]
fftease,swinger~,swinger~,,a phase swapping object ,signal filters,,[[signal]]
pdmtl,sample.groove.poly~,sample.groove.poly~,,A polyphonic version of sample.groove~. ,sample edit,,[[signal]]
zexy,msgfile,msgfile,,"a powerful ""textfile"" derivative",,,[[message]]
pidip,pdp_rec~,pdp_rec~,,"a quicktime file recorder Video: jpeg, yuv2, divx, dv, yuv2, Audio: twos, raw",,,[[signal]]
pidip,pdp_yqt,pdp_yqt,,a quicktime movie reader with less functionnalities,,,[[message]]
pidip,pdp_mp4live~,pdp_mp4live~,,"a quicktime stream emitter (darwin, quicktime)",,,[[message]]
pidip,pdp_mp4player~,pdp_mp4player~,,"a quicktime stream receiver (darwin, quicktime)",,,[[signal]]
pdmtl,2d.angle.line,2d.angle.line,,A ramp between two angles that takes the quickest route. ,2d edit,,[[message]]
gem,ripple,ripple,,a rectangle with distorted (over time) texture-coordinates,geos,,[[gem list]]
creb,resofilt~,resofilt~,,"a reso filter (4pole, 3pole)",signal,,[[signal]]
pdmtl,fx.biquad.reverb~,fx.biquad.reverb~,,A reverb that adds more character than reverb.,fx edit,Taken from Andy Farnell's work. ,[[signal]]
pdmtl,fx.body.resonance~,fx.body.resonance~,,A reverb that adds more character than reverb.,fx edit,Taken from Andy Farnell's work. ,[[signal]]
pdmtl,scale.3point,scale.3point,,A scale changer with an offset mid point. ,scale edit,,[[message]]
pdmtl,seq.tracker4,seq.tracker4,,A scrollable tracker with an unlimited number of patterns of any length. ,seq edit,,[[message]]
markex,multiselect,multiselect,multisel,a select object which accepts a list in the right inlet,,,[[message]]
pdmtl,synth.beep~,synth.beep~,,A simple beep. ,synth edit,,[[signal]]
pdmtl,fx.delay~,fx.delay~,,A simple delay. ,fx edit,,[[signal]]
pdmtl,fx.dist~,fx.dist~,,A simple distortion. Positive and negative distortion can be set independently. ,fx edit,,[[signal]]
cyclone,Histo,Histo,,A simple histogram,,,[[message]]
pdmtl,fx.cm.reverb~,fx.cm.reverb~,,A simple stereo reverb.,fx edit,Original patch by Claude H. ,[[signal]]
fftease,vacancy~,vacancy~,,a spectral compositing object ,signal filters,,[[signal]]
fftease,pvcompand~,pvcompand~,,a spectral compressor/expander object,signal filters,,[[signal]]
fftease,mindwarp~,mindwarp~,,a spectral formant warping object ,signal filters,,[[signal]]
fftease,centerring~,centerring~,,a spectral modulation object ,signal filters,,[[signal]]
fftease,disarray~,disarray~,,a spectral redistribution object ,signal filters,,[[signal]]
fftease,residency~,residency~,,a spectral sampler useful for time scaling ,signal filters,,[[signal]]
fftease,presidency~,presidency~,,a spectral sampler with pitch control ,signal filters,,[[signal]]
fftease,pvgrain~,pvgrain~,,a spectrum analyzer for granular resynthesis ,signal filters,,[[signal]]
fftease,pvtuner~,pvtuner~,,a spectrum quantizer for tuning to arbitrary scales ,signal filters,,[[signal]]
pidip,pdp_spotlight,pdp_spotlight,,a spotlight especially made for cabaret,,,[[message]]
creb,scrollgrid1D~,scrollgrid1D~,,a stabilized scroll grid chaotic oscillator,signal,,[[signal]]
pan,gpan~,gpan~,,A stereo pan object with a built-in slider to control,,,
creb,tabreadmix~,tabreadmix~,,a tabread~ clone with overlap add (for smooth time stretch),signal,,[[signal]]
creb,statwav~,statwav~,,a tabread4~ clone with 8 point interpolation,signal,,[[signal]]
pdmtl,timing.tempo,timing.tempo,,A tempo generator.,timing edit,A clone of the Max/Msp object. ,[[message]]
pidip,pdp_text,pdp_text,,a text addition object,,,[[message]]
cyclone,trapezoid~,trapezoid~,,a trapezoidal wavetable,oscillators and tables,,[[signal]]
gem,primTri,primTri,,a triangle primitive,geos,,[[gem list]]
cyclone,triangle~,triangle~,,a triangle/ramp wavetable,oscillators and tables,,[[signal]]
pdmtl,random.markov.chain,random.markov.chain,,A variable length markov chain. For weighted random. ,random edit,,[[message]]
ggee,vbap,vbap,,A VBAP (Vector Base Amplitude Panning) external,,,
cyclone,vectral~,vectral~,,a vector based envelope follower,signal math,,[[signal]]
pdmtl,timing.chronometer,timing.chronometer,,a very basic chronometer ,timing edit,,[[message]]
pdp,pdp_scope~,pdp_scope~,,a very simple oscilloscope,pdp signal,,[[signal]]
pidip,pdp_canvas,pdp_canvas,,a video canvas,,,[[message]]
pidip,pdp_compose,pdp_compose,,a video compositor,,,[[message]]
pidip,pdp_spigot,pdp_spigot,,a video signal router,,,[[message]]
pidip,pdp_live~,pdp_live~,,a video stream decoder (at least from ffserver),,,[[signal]]
pidip,pdp_ffmpeg~,pdp_ffmpeg~,,a video streamer towards a ffserver,,,[[message]]
xsample,xgroove~,xgroove~,,A wavetable player,oscillators and tables,,[[signal]]
xsample,xplay~,xplay~,,A wavetable player,oscillators and tables,,[[signal]]
pdmtl,seq.markov.machine,seq.markov.machine,,a weighted finite states machine using an adjacency matrix for storing probabilities to obtain every other state next. ,seq edit,,[[message]]
pdmtl,count.modulo,count.modulo,,A wrapping(looping) counter. ,count edit,,[[message]]
vasp,vasp.a(smaller than),vasp.a<,,abs(vasp) < abs(x),vasp arithmetic,,[[message]]
vasp,vasp.a(smaller than or equal),vasp.a<=,,abs(vasp) <= abs(x),vasp arithmetic,,[[message]]
vasp,vasp.a(greater than),vasp.a>,,abs(vasp) > abs(x),vasp arithmetic,,[[message]]
vasp,vasp.a(greater than or equal),vasp.a>=,,abs(vasp) >= abs(x),vasp arithmetic,,[[message]]
vanilla,abs,abs,,absolute value,math,,[[message]]
pdp,pdp_abs,pdp_abs,,absolute value,image processors,,[[pdp]]
creb,abs~ (creb),abs~,,absolute value,signal,,[[signal]]
cyclone,abs~,abs~,,Absolute value of a signal,signal math,,[[signal]]
markex,abs~ (markex),abs~,,absolute value of a signal,,,[[signal]]
zexy,abs~ (zexy),abs~,,absolute value of a signal,signal math,,[[signal]]
vasp,vasp.abs,vasp.abs,,absolute value of a vasp,vasp arithmetic,,[[message]]
gem,accumrotate,accumrotate,,accumulate a rotation,manipulators,,[[gem list]]
pdmtl,list.q.man,list.q.man,,Accumultate lists and outputs them on bangs (first in first out). Lists are erased once they are outputed. ,list edit,,[[message]]
zexy,mtx_add,mtx_add,mtx_+,add 2 matrices (or an offset to 1 matrix),matrix,,[[message]]
iemlib,add2_comma,add2_comma,,add a comma-separated message to a messagebox,,,[[message]]
markex,vector+,vector+,v+,add a scalar to a vector,,,[[message]]
vanilla,append (vanilla),append,,add an element to a list,data templates,accessing data,[[message]]
vanilla,inlet,inlet,,add an inlet to a pd,subwindows,,[[message]]
gem,pix_offset,pix_offset,,add an offset to a pix (wrapping instead of clipping),pixes,,[[gem list]]
pdp,pdp_offset,pdp_offset,,add an offset to an image,image abstractions,,[[pdp]]
vanilla,outlet,outlet,,add an outlet to a pd,subwindows,,[[message]]
cyclone,Append (cyclone),Append,,Add one or more items to the end of a list or message,glue,,[[message]]
vanilla,throw~,throw~,,add to a summing bus,audio glue,,[[signal]]
smlib,vv+,vv+,,add two lists of floats,,,
gem,pix_add,pix_add,,add two pixes together,pixes,,[[gem list]]
vasp,vasp.+,vasp.+,,addition,vasp arithmetic,,[[message]]
pdp,pdp_add,pdp_add,,adds two images,image processors,,[[pdp]]
cyclone,zl,zl,,all-in-one list thingie,,,[[message]]
mjlib,metroplus,metroplus,,allows complex timing bangs to be delivered,time,,[[message]]
pdmtl,gems.alpha.mode,gems.alpha.mode,,Allows to easily change the alpha blending mode for the current gemchain. ,gems edit,,[[message]]
pdmtl,gems.mixmode,gems.mixmode,,Allows to easily change the mixing mode for two pixes.,gems edit,This method is deprecated. Use gems.alpha.mode instead as it is much more powerful! ,[[message]]
iemlib,ap1~,ap1~,,allpass 1.order,signal filters,,[[signal]]
iemlib,ap2~,ap2~,,allpass 2.order,signal filters,,[[signal]]
cyclone,allpass~,allpass~,,Allpass filter,filter,,[[signal]]
markex,alternate,alternate,,alternate between two outlets,,,[[message]]
pmpd,iAmbient2D,iAmbient2D,,ambient interaction,physical modelling,,
pmpd,iAmbient3D,iAmbient3D,,ambient interaction,physical modelling,,
maxlib,temperature,temperature,,amount of input changes per time,time,,[[message]]
pdmtl,musical.isosonic~,musical.isosonic~,,Amplitude correction according to the MIDI note of the original sound in order to obtain an equal perceptual loudness for every pitch,musical edit,,[[message]]
pdmtl,seq.tgl8_,seq.tgl8_,,An 8 step beat sequencer. ,seq edit,,[[message]]
fftease,cavoc~,cavoc~,,an 8-rule cellular automata that generates spectra ,"audio oscillators, tables",,[[signal]]
cyclone,accum,accum,,An accumulator,,,[[message]]
cyclone,Uzi,Uzi,,An accumulatorSends out n bangs,glue,,[[message]]
fftease,pvoc~,pvoc~,,an additive synthesis phase vocoder ,signal filters,,[[signal]]
pdp,pdp_alledge,pdp_alledge,,an all edge detector,image abstractions,,[[pdp]]
fftease,thresher~,thresher~,,an amplitude/frequency sensitive gating object ,audio glue,,[[signal]]
pidip,pdp_ascii,pdp_ascii,,an ASCII art renderer,,,[[message]]
unauthorized,compressor~,compressor~,,an audio compressor,,,
fftease,reanimator~,reanimator~,,an audio texture mapper ,signal filters,,[[signal]]
pdmtl,gems.i.circle,gems.i.circle,,An interactive circular zone.,gems edit,Must be used with gems.win. Might not work properly with OSX. ,[[message]]
cxc,reson~,reson~,,An interpolating reson filter,,,
fftease,disarrain~,disarrain~,,an interpolating version of disarray~ ,signal filters,,[[signal]]
cyclone,Bucket,Bucket,,An n-stage shift register,,,[[message]]
fftease,ether~,ether~,,another spectral compositing object ,signal filters,,[[signal]]
iemlib,once,once,,any message pass through only the first time,init,,[[message]]
iemlib,iem_append,iem_append,,append a message to any messages (obsolete: merge_any),anything operating,,[[message]]
zexy,glue,glue,,append a package to another (glue them together),,glue,[[message]]
pdmtl,fx.gain~,fx.gain~,,Applies a gain in dB to an incoming signal,fx edit,,[[signal]]
pdmtl,gems.sobel,gems.sobel,,Applies a sobel filter to an image. Uses two convolution matrix filters. ,gems edit,,[[message]]
pdp,pdp_phase,pdp_phase,,applies an allpass filter to an image,image abstractions,,[[pdp]]
pdp,pdp_bitmask,pdp_bitmask,,apply a bit mask,image processors,,[[pdp]]
gem,pix_bitmask,pix_bitmask,,apply a bitmask to a pix,pixes,,[[gem list]]
gem,pix_gain,pix_gain,,apply a gain to a pix,pixes,,[[gem list]]
gem,pix_threshold,pix_threshold,,apply a threshold to a pix,pixes,,[[gem list]]
gem,pix_curve,pix_curve,,apply color-curves onto a pix,pixes,,[[gem list]]
gem,part_draw,part_draw,,"Apply the actions and render the particles.  Accepts a message ""draw line"" or ""draw point"" to change the drawing style.",particles,,[[gem particle]]
creb,scale7,scale7,,arbitrary 7 tone scale,abstractions,,[[message]]
maxlib,arbran,arbran,,"arbran array01 array02, generates a random variable that conforms to the piecewise probability density functions specified in two arrays",random,,[[message]]
cyclone,atanh~,atanh~,,Arc Hyperbolic tangent function (atanh(x)) for signals,signal math,,[[signal]]
cyclone,acos~,acos~,,Arc-cosine function (acos(x)) for signals,signal math,,[[signal]]
cyclone,acos,acos,,Arccosine(x),math,,[[message]]
cyclone,asin~,asin~,,Arc-sine function (asin(x)) for signals,signal math,,[[signal]]
cyclone,asin,asin,,Arcsine(x),math,,[[message]]
vanilla,atan,atan,,arctangent (range -Pi/Pi),math,,[[message]]
vanilla,atan2,atan2,,arctangent (range -Pi/Pi),math,,[[message]]
zexy,tavg~,tavg~,,arithmetic mean between two bangs,analytic converters,,"[[message]], [[signal]]"
zexy,avg~ (zexy),avg~,,arithmetic mean of 1 signal-vector,analytic converters,,"[[message]], [[signal]]"
vanilla,table,table,,array of numbers in a subwindow,subwindows,,[[message]]
iemlib,receive2list,receive2list,,array of receive-objects,parameter handling,,[[message]]
iemlib,list2send,list2send,,array of send-objects,parameter handling,,[[message]]
gem,pix_kaleidoscope,pix_kaleidoscope,,as if you were looking at the pix through a kaleidoscope,pixes,,[[gem list]]
zexy,atoi,atoi,,ascii to integer,,glue,[[message]]
bsaylor,aenv~,aenv~,,asymptotic ADSR envelope generator;,,,[[signal]]
markex,vectorpack,vectorpack,vpack,attach a scalar to the end of a vector,,,[[message]]
vanilla,adc~,adc~,,audio input,audio glue,,[[signal]]
vanilla,dac~,dac~,,audio output,audio glue,,[[signal]]
pdp,pdp_agc,pdp_agc,,automatic gain control (intensity maximizer),image abstractions,,[[pdp]]
pdmtl,table.write.next,table.write.next,,Automatically write the incomming value at the next index. ,table edit,,[[message]]
markex,average (markex),average,,average a sequence of numbers,,,[[message]]
maxlib,average (maxlib),average,,average of last N values,math,,[[message]]
maxlib,history,history,,average over last N seconds,math,,[[message]]
vanilla,bp~,bp~,,band pass filter,signal filters,,[[signal]]
iemlib,bpw2~,bpw2~,,bandpass 2.order with bandwidth-inlet,signal filters,,[[signal]]
iemlib,vcf_bp2~,vcf_bp2~,,bandpass 2.order with freq- and Q-signal-inlets,signal filters,,[[signal]]
iemlib,bpq2~,bpq2~,,bandpass 2.order with Q-inlet,signal filters,,[[signal]]
iemlib,vcf_bp4~,vcf_bp4~,,bandpass 4.order with freq- and Q-signal-inlets,signal filters,,[[signal]]
iemlib,vcf_bp6~,vcf_bp6~,,bandpass 6.order with freq- and Q-signal-inlets,signal filters,,[[signal]]
iemlib,vcf_bp8~,vcf_bp8~,,bandpass 8.order with freq- and Q-signal-inlets,signal filters,,[[signal]]
cyclone,reson~ (cyclone),reson~,,Bandpass filter controllable by center frequency and,filter,,[[signal]]
iemlib,bsw2~,bsw2~,,bandstop 2.order (notch) with bandwidth-inlet,signal filters,,[[signal]]
iemlib,bsq2~,bsq2~,,bandstop 2.order (notch) with Q-inlet,signal filters,,[[signal]]
cxc,bfilt,bfilt,,bang filter,,,
cxc,bfilt2,bfilt2,,bang filter,,,
hcs,file_type,file_type,,bang if no match;,,,
vanilla,loadbang,loadbang,,bang on load,,,[[message]]
ggee,toddle,toddle,,bang that routes messages through,glue,,[[message]]
iemlib,bng,bng,,"bang, display and generate a bang-message",GUI,now vanilla,[[message]]
mjlib,monorhythm,monorhythm,,basic rhythm pattern building blocks that allows polyrhthms to be generated quickly and easily,time,,[[message]]
maxlib,rhythm,rhythm,,beat detection,music,,[[message]]
maxlib,beat,beat,,beat tracking,music,,[[message]]
vanilla,bendin,bendin,,bend in,MIDI,midi input,[[message]]
vanilla,bendout,bendout,,bend out,MIDI,midi output,[[message]]
maxlib,netclient,netclient,,bidirectional communication (client/server based),network,,[[message]]
maxlib,netserver,netserver,,bidirectional communication (client/server based),network,,[[message]]
creb,biquadseries~,biquadseries~,,biquad second order sections (i.e. butterworth),signal,,[[signal]]
boids,boids2d,boids2d,,bird flight and animal flock simulator,,,[[message]]
boids,boids3d,boids3d,,bird flight and animal flock simulator,,,[[message]]
vanilla,&,&,,bitwise AND,math,bit twiddling,[[message]]
cyclone,bitand~,bitand~,,Bitwise and signal operator,signal math,,[[signal]]
cyclone,bitnot~,bitnot~,,Bitwise not signal operator,signal math,,[[signal]]
vanilla,(bitwise OR),|,,bitwise OR,math,bit twiddling,[[message]]
cyclone,bitor~,bitor~,,Bitwise or signal operator,signal math,,[[signal]]
cyclone,bitshift~,bitshift~,,Bitwise shift signal operator,signal math,,[[signal]]
pdp,pdp_and,pdp_and,,bitwize and,image processors,,[[pdp]]
pdp,pdp_not,pdp_not,,bitwize not,image processors,,[[pdp]]
pdp,pdp_or,pdp_or,,bitwize or,image processors,,[[pdp]]
pdp,pdp_xor,pdp_xor,,bitwize xor,image processors,,[[pdp]]
creb,bdiag~,bdiag~,,block diagonal state space system (spectral processor),signal,,[[signal]]
creb,fblock,fblock,,block relative frequency conversion,abstractions,,[[message]]
creb,tblock,tblock,,block relative time conversion,abstractions,,[[signal]]
la-kitchen,debounce,debounce,,block the value of the incoming data for,,,
percolate,dcblock~,dcblock~,,blocks DC components in audio signals,"audio oscillators, tables",,[[signal]]
iemlib,iem_blocksize~,iem_blocksize~,,blocksize of a window in samples,audio ,,[[signal]]
pdp,pdp_blur,pdp_blur,,blurs an image,image abstractions,,[[pdp]]
pdp,pdp_motion_blur,pdp_motion_blur,,blurs motion,image abstractions,,[[pdp]]
sigpack,freqshift~,freqshift~,,bode frequency shifter;,signal generators,,
pdmtl,fx.punch~,fx.punch~,,Boost the input signal to it's maximum amplitude while never clipping. ,fx edit,,[[signal]]
maxlib,pong,pong,,bouncing ball model,time,,[[message]]
iemlib,bpe,bpe,,break point envelope controller,,,[[message]]
gem,pix_refraction,pix_refraction,,"break up an image into coloured ""glass-bricks""",pixes,,[[gem list]]
gem,pix_buf,pix_buf,,buffer a pix,pixes,,[[gem list]]
vasp,vasp.xtilt,vasp.xtilt,,buffer is divided in two symmetrical halves and each,vasp displace,,[[message]]
cyclone,prob (cyclone),prob,,Build a transition table of probabilities,,,[[message]]
cyclone,sprintf,sprintf,,Build and format lists of numbers and symbols,glue,,[[message]]
pdmtl,list.build,list.build,,Builds a list with the incomming data. New data is either append or prepended to the list being built. ,list edit,,[[message]]
pdmtl,input.key.text,input.key.text,,Builds up symbols while you type. ,input edit,,[[message]]
pidip,pdp_qt,pdp_qt,,"but with less functionnalities. codecs : jpeg, yuv2, divx, dv, yuv2. no compressed headers!",,,[[message]]
creb,bhip~,bhip~,,butterworth high pass filter,abstractions,,[[signal]]
creb,blop~,blop~,,butterworth low pass filter,abstractions,,[[signal]]
zexy,swap~,swap~,,bytes swap a 16bit-signal,signal processing,,[[signal]]
maxlib,divmod,divmod,,calculate / and %,math,,[[message]]
maxlib,delta,delta,,calculate 1st or 2nd order diff.,math,,[[message]]
ekext,framescore~,framescore~,,calculate a weighted similarity value for 2 signal vectors,,,
ekext,framespect~,framespect~,,calculate a weighted similarity value for 2 signal vectors,,,
pdmtl,3d.pan.tilt,3d.pan.tilt,,Calculate the pan and tilt between two 3D coordinates. ,3d edit,,[[message]]
pdmtl,2d.distance,2d.distance,,Calculates the 2d distance between 2 points. ,2d edit,,[[message]]
cyclone,mean (cyclone),mean,,Calculates the mean (average) of all the numbers it has,math,,[[message]]
gem,camera,camera,,camera,manipulators,,[[gem list]]
pdmtl,flow.@parse,flow.@parse,,Can be used to parse arguments like in Max/Msp's Jitter (@agument_name argument_value).,flow edit,Best used with dollarg. ,[[message]]
pdmtl,seq.qtrack,seq.qtrack,,Can record any stream of messages and play it back at different speeds in loop or not.,seq edit,This patch is quite powerful and you should really think about using it if you want to play back complex rhythms and such. It wraps qlist. ,[[message]]
iemlib,cnv,cnv,,"canvas, colored background and text",GUI,now vanilla,[[message]]
cyclone,capture,capture,,Capture incoming numbers and display in text editor,,,[[message]]
gem,pix_snap2tex,pix_snap2tex,,capture the render window directly as a texture,pixes,,[[gem list]]
gem,pix_snap,pix_snap,,capture the render window into a pix,pixes,,[[gem list]]
gem,pix_write,pix_write,,capture the render window to disk,pixes,,[[gem list]]
cyclone,poltocar,poltocar,,cartesian to polar coordinates,math,,[[message]]
zexy,list2int,list2int,,cast each float of a list to integer,,glue,[[message]]
vanilla,receive,receive,r,"catch ""sent"" messages",glue,,[[message]]
iemlib,iem_receive,iem_receive,,"catch ""sent"" messages (receive-name-input) (abbr. iem_r)",,,[[message]]
maxlib,mlife,mlife,,cellular automaton,other/experimental,,[[message]]
vasp,vasp.frames(division),vasp.frames/,,change a vasps frame count by division,vasp declaration,,[[message]]
vasp,vasp.frames*,vasp.frames*,,change a vasps frame count by multiplication,vasp declaration,,[[message]]
vasp,vasp.frames=,vasp.frames=,,change a vasp's frame count by searching for a value,vasp declaration,,[[message]]
gem,part_targetcolor,part_targetcolor,,Change color of the particles toward the specified color,particles,,[[gem particle]]
pdp,pdp_saturation,pdp_saturation,,change colour saturation,image abstractions,,[[pdp]]
vanilla,set,set,,change numeric fields,data templates,accessing data,[[message]]
gem,part_targetsize,part_targetsize,,Change size of the particles toward the specified size,particles,,[[gem particle]]
pdmtl,sample.bounds,sample.bounds,,Change the region (start and length) and the loops points (loop_in and loop_out) of a sample.,sample edit,Flags: sample_id,[[message]]
vanilla,setsize,setsize,,change the size of an array,data templates,accessing data,[[message]]
vasp,vasp.size(division),vasp.size/,,change the size of an array/buffer by division,vasp declaration,,[[message]]
vasp,vasp.size*,vasp.size*,,change the size of an array/buffer by multiplication,vasp declaration,,[[message]]
gem,ortho,ortho,,"change the view to orthogonal, with the viewport the size of the window",manipulators,,[[gem list]]
vasp,vasp.polar,vasp.polar,,changes between cartesian and polar representation,vasp fft objects,,[[message]]
vasp,vasp.rect,vasp.rect,,changes between polar and cartesian representation,vasp fft objects,,[[message]]
pidip,pdp_charcoal,pdp_charcoal,,charcoal effect,,,[[message]]
vanilla,q8_rsqrt~,q8_rsqrt~,,cheap reciprocal square root (beware -- 8 bits!),signal math,,[[signal]]
vanilla,q8_sqrt~,q8_sqrt~,,cheap square root (beware -- 8 bits!),signal math,,[[signal]]
pdp,pdp_cheby,pdp_cheby,,chebyshev color shaper,image processors,,[[pdp]]
creb,cheby~,cheby~,,chebyshev polynomial waveshaper,signal,,[[signal]]
pdmtl,list.contains,list.contains,,Check for the existence of an element in a list. ,list edit,,[[message]]
zexy,mtx_check,mtx_check,,check the consistency of a matrix and repair,matrix,,[[message]]
vasp,vasp.check,vasp.check,,check vasp dimensions,vasp basics,,[[message]]
pdmtl,init.check.unique,init.check.unique,,checks that it is the only abstraction or the first abstraction to use a given name (or float as an id). ,init edit,,[[message]]
maxlib,chord,chord,,chord detection,music,,[[message]]
pmpd,iCircle2D,iCircle2D,,Circlular interaction,physical modelling,,
pmpd,iCircle3D,iCircle3D,,Circlular interaction,physical modelling,,
smlib,vclip,vclip,,clip each element in a vector,,,
pdmtl,midi.note.close,midi.note.close,,Closes an opened note before opening a new one.,MIDI,This abstraction is monophonic. Understands float triggers. ,[[message]]
cyclone,capture~,capture~,,Collect samples from a signal and examine them in a text,glue,,[[signal]]
cyclone,thresh,thresh,,Collects items into a list if they appear within a certain,math,,[[message]]
pmpd,tCircle2D,tCircle2D,,collision detection,physical modelling,,
pmpd,tCircle3D,tCircle3D,,collision detection,physical modelling,,
pmpd,tCube3D,tCube3D,,collision detection,physical modelling,,
